member_id,visit_date,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
32,19-12-2024,19,Male,Monthly,CrossFit,59,374,19:23,Present
33,21-03-2024,27,Female,Annual,Strength Training,23,127,22:44,Present
34,17-03-2024,51,Male,Quarterly,CrossFit,36,208,20:18,Present
35,25-12-2024,50,Female,Monthly,CrossFit,59,584,17:28,Present
36,14-03-2024,48,Male,Monthly,Cardio,20,159,07:50,Absent
37,24-08-2024,49,Female,Annual,Strength Training,81,756,11:16,Absent
38,26-03-2024,47,Female,Annual,CrossFit,107,779,15:14,Present
39,21-05-2024,61,Female,Monthly,Strength Training,94,737,08:57,Present
40,25-05-2024,26,Other,Monthly,Yoga,100,562,05:16,Present
41,27-04-2024,50,Other,Quarterly,HIIT,51,428,15:05,Present
42,01-10-2024,26,Male,Annual,HIIT,94,859,07:04,Present
43,26-11-2024,45,Female,Monthly,HIIT,61,412,08:43,Absent
44,22-03-2024,19,Male,Monthly,Cardio,81,570,20:36,Absent
45,14-08-2024,39,Female,Monthly,Yoga,26,208,14:20,Absent
46,01-07-2024,33,Male,Monthly,CrossFit,56,336,21:50,Absent
47,07-12-2024,40,Other,Quarterly,Yoga,92,524,19:24,Absent
48,18-10-2024,32,Female,Monthly,Cardio,63,546,18:26,Absent
49,02-07-2024,42,Male,Monthly,CrossFit,103,755,16:47,Present
50,04-12-2024,42,Other,Quarterly,Strength Training,99,746,16:19,Absent
51,11-08-2024,27,Male,Monthly,Yoga,60,337,09:43,Present
52,22-11-2024,42,Male,Annual,CrossFit,42,346,05:27,Present
53,01-01-2024,47,Male,Quarterly,CrossFit,55,286,13:54,Absent
54,02-12-2024,23,Female,Monthly,CrossFit,115,1086,21:11,Absent
55,07-05-2024,18,Male,Annual,Cardio,53,483,15:03,Absent
56,02-03-2024,22,Other,Quarterly,Cardio,44,423,18:47,Present
57,12-06-2024,37,Male,Monthly,Cardio,37,242,11:54,Present
58,12-11-2024,39,Other,Annual,Yoga,76,596,09:48,Absent
59,14-06-2024,59,Female,Monthly,HIIT,47,460,17:00,Absent
60,08-03-2024,65,Other,Annual,HIIT,57,318,19:47,Present
61,19-01-2024,54,Female,Annual,Yoga,120,751,20:44,Present
62,08-04-2024,52,Other,Monthly,Strength Training,113,878,09:42,Present
63,10-10-2024,43,Female,Quarterly,Strength Training,22,142,22:58,Absent
64,04-09-2024,55,Male,Quarterly,HIIT,33,248,05:51,Absent
65,09-11-2024,33,Other,Quarterly,HIIT,37,251,10:56,Present
66,29-11-2024,29,Male,Quarterly,Cardio,83,683,22:12,Absent
67,17-07-2024,47,Female,Monthly,Cardio,25,172,05:44,Present
68,16-01-2024,31,Other,Quarterly,Yoga,42,243,10:34,Present
69,12-06-2024,34,Male,Quarterly,Cardio,54,515,20:05,Absent
70,18-01-2024,61,Male,Monthly,CrossFit,32,304,07:12,Absent
71,23-06-2024,22,Female,Annual,Strength Training,92,715,07:12,Absent
72,26-12-2024,30,Male,Annual,Cardio,49,378,11:52,Absent
73,29-08-2024,30,Female,Monthly,HIIT,26,233,17:42,Present
74,01-04-2024,34,Male,Quarterly,HIIT,58,561,19:50,Present
75,11-02-2024,33,Female,Monthly,CrossFit,53,340,05:22,Absent
76,22-11-2024,45,Male,Quarterly,Strength Training,54,522,05:01,Absent
77,20-02-2024,27,Other,Monthly,HIIT,84,476,22:34,Present
78,17-10-2024,27,Female,Annual,Cardio,80,549,21:01,Absent
79,10-05-2024,63,Other,Quarterly,Strength Training,45,265,21:09,Present
80,23-08-2024,59,Other,Annual,CrossFit,89,502,21:53,Present
81,17-12-2024,60,Male,Quarterly,Yoga,98,630,21:54,Present
82,03-06-2024,23,Other,Quarterly,Strength Training,43,228,06:52,Absent
83,17-10-2024,44,Male,Quarterly,CrossFit,20,148,08:30,Absent
84,26-05-2024,38,Other,Quarterly,Strength Training,108,605,22:52,Absent
85,23-01-2024,25,Female,Annual,Yoga,40,364,13:59,Present
86,10-02-2024,33,Female,Quarterly,Cardio,104,997,07:43,Present
87,04-03-2024,52,Female,Monthly,CrossFit,115,1098,16:18,Absent
88,14-12-2024,19,Male,Annual,HIIT,104,713,06:35,Absent
89,19-05-2024,53,Male,Quarterly,HIIT,37,194,15:22,Present
90,24-05-2024,18,Male,Quarterly,Cardio,41,342,10:41,Absent
91,04-04-2024,48,Male,Quarterly,Yoga,71,672,13:50,Absent
92,29-07-2024,20,Other,Monthly,CrossFit,26,148,09:25,Present
93,15-04-2024,32,Female,Annual,Yoga,64,562,22:15,Present
94,09-08-2024,47,Male,Monthly,HIIT,114,937,22:33,Absent
95,05-11-2024,41,Male,Quarterly,CrossFit,110,865,16:19,Absent
96,10-02-2024,58,Other,Annual,Strength Training,101,778,10:39,Absent
97,30-08-2024,59,Female,Monthly,Yoga,110,585,22:57,Present
98,17-11-2024,58,Other,Monthly,Strength Training,98,721,12:34,Present
99,21-01-2024,33,Female,Annual,Yoga,49,465,10:14,Absent
100,22-10-2024,42,Female,Quarterly,CrossFit,69,369,18:31,Present
101,12-03-2024,51,Male,Annual,HIIT,108,856,09:04,Absent
102,27-02-2024,36,Male,Annual,CrossFit,48,459,07:03,Absent
103,10-03-2024,20,Female,Annual,Yoga,89,714,06:34,Present
104,04-09-2024,64,Male,Monthly,CrossFit,86,796,07:55,Present
105,13-06-2024,22,Other,Monthly,Strength Training,64,590,19:39,Absent
106,14-10-2024,37,Female,Annual,Strength Training,108,961,15:30,Present
107,04-03-2024,30,Other,Annual,HIIT,80,596,09:01,Absent
108,05-10-2024,64,Other,Quarterly,Cardio,73,623,10:45,Present
109,30-10-2024,31,Female,Annual,Cardio,28,236,10:08,Absent
110,08-05-2024,48,Other,Quarterly,CrossFit,25,138,14:03,Present
111,13-07-2024,18,Male,Quarterly,HIIT,62,429,18:40,Absent
112,24-10-2024,30,Female,Monthly,HIIT,65,555,19:39,Present
113,23-10-2024,37,Other,Quarterly,HIIT,120,842,20:17,Present
114,31-12-2024,42,Male,Quarterly,Yoga,88,761,05:32,Absent
115,09-06-2024,27,Other,Annual,HIIT,27,203,12:15,Present
116,30-06-2024,47,Other,Quarterly,CrossFit,42,393,20:17,Absent
117,28-08-2024,49,Other,Quarterly,Cardio,31,193,09:26,Absent
118,25-12-2024,64,Other,Quarterly,Yoga,89,668,16:33,Present
119,06-02-2024,59,Female,Annual,HIIT,39,277,05:25,Absent
120,05-05-2024,47,Male,Monthly,Strength Training,69,591,09:23,Absent
121,11-04-2024,64,Male,Annual,Yoga,32,262,08:10,Present
122,19-11-2024,19,Female,Monthly,Cardio,120,1072,20:51,Absent
123,19-06-2024,32,Male,Quarterly,CrossFit,50,498,05:42,Absent
124,31-12-2024,23,Male,Annual,CrossFit,83,748,16:54,Present
125,28-12-2024,30,Other,Quarterly,HIIT,86,774,21:09,Present
126,17-10-2024,54,Male,Annual,Yoga,37,194,19:14,Absent
127,05-01-2024,62,Male,Annual,Strength Training,87,788,11:13,Absent
128,14-09-2024,18,Other,Monthly,Yoga,28,266,14:38,Absent
129,20-12-2024,18,Male,Annual,Strength Training,53,415,15:30,Present
130,04-08-2024,61,Other,Quarterly,Cardio,103,756,05:33,Present
131,16-01-2024,37,Female,Annual,CrossFit,104,873,17:13,Absent
132,15-04-2024,18,Male,Quarterly,Cardio,88,828,06:25,Absent
133,12-09-2024,52,Male,Quarterly,HIIT,84,534,17:02,Present
134,04-08-2024,37,Other,Annual,Cardio,65,327,05:11,Absent
135,16-03-2024,59,Other,Monthly,Cardio,44,341,16:15,Absent
136,27-02-2024,65,Male,Quarterly,Strength Training,113,934,14:09,Absent
137,18-03-2024,50,Other,Monthly,Cardio,117,878,06:06,Present
138,05-07-2024,38,Other,Quarterly,Strength Training,98,578,07:43,Present
139,03-11-2024,34,Male,Annual,Cardio,42,214,20:37,Present
140,04-02-2024,51,Female,Annual,Yoga,63,466,10:46,Present
141,13-12-2024,56,Female,Annual,Cardio,67,440,13:38,Present
142,25-03-2024,38,Female,Annual,HIIT,82,816,09:38,Absent
143,20-04-2024,20,Other,Annual,Strength Training,80,403,07:40,Absent
144,28-01-2024,32,Female,Monthly,Yoga,48,476,10:24,Absent
145,11-07-2024,52,Other,Annual,Strength Training,27,155,16:55,Absent
146,11-01-2024,20,Other,Monthly,Cardio,56,405,08:19,Present
147,24-10-2024,38,Female,Quarterly,Cardio,106,808,17:12,Present
148,17-08-2024,48,Male,Monthly,Yoga,109,793,06:26,Present
149,25-05-2024,18,Male,Monthly,Strength Training,83,823,13:11,Absent
150,11-09-2024,64,Other,Quarterly,CrossFit,91,537,06:24,Present
151,13-01-2024,29,Other,Annual,Yoga,31,268,15:57,Absent
152,10-02-2024,41,Other,Quarterly,Strength Training,83,819,05:38,Present
153,17-10-2024,19,Other,Quarterly,CrossFit,65,472,17:58,Absent
154,08-01-2024,27,Male,Quarterly,CrossFit,66,469,10:50,Present
155,16-06-2024,20,Male,Annual,CrossFit,52,488,13:11,Absent
156,12-06-2024,37,Other,Annual,CrossFit,54,487,10:20,Present
157,10-10-2024,57,Other,Monthly,Strength Training,63,341,06:46,Absent
158,24-05-2024,65,Other,Monthly,Strength Training,74,667,20:48,Absent
159,14-03-2024,49,Female,Monthly,HIIT,59,367,20:38,Present
160,29-08-2024,49,Other,Monthly,HIIT,56,512,16:22,Absent
161,04-10-2024,26,Female,Annual,Strength Training,100,984,13:25,Absent
162,09-05-2024,61,Male,Monthly,CrossFit,80,553,17:39,Present
163,05-02-2024,57,Male,Annual,Yoga,111,1000,17:12,Absent
164,01-04-2024,23,Female,Quarterly,Cardio,113,645,15:36,Absent
165,24-02-2024,45,Other,Quarterly,CrossFit,59,299,08:57,Absent
166,27-02-2024,25,Other,Quarterly,Cardio,81,572,16:00,Present
167,17-03-2024,50,Female,Monthly,Cardio,47,278,18:58,Present
168,29-12-2024,47,Male,Annual,HIIT,40,227,14:39,Present
169,19-03-2024,33,Other,Monthly,CrossFit,39,299,15:27,Present
170,01-11-2024,19,Male,Monthly,CrossFit,77,402,13:29,Absent
171,15-03-2024,49,Male,Quarterly,HIIT,92,809,12:17,Absent
172,06-12-2024,45,Male,Quarterly,Cardio,76,647,11:50,Absent
173,01-06-2024,38,Male,Annual,CrossFit,28,200,07:15,Absent
174,18-03-2024,22,Other,Monthly,HIIT,109,965,11:53,Present
175,12-12-2024,38,Other,Annual,Strength Training,82,560,14:27,Present
176,03-07-2024,61,Other,Annual,HIIT,31,246,05:42,Absent
177,06-12-2024,25,Female,Quarterly,Strength Training,107,821,16:27,Present
178,25-01-2024,41,Other,Annual,CrossFit,47,395,22:22,Absent
179,03-09-2024,61,Other,Monthly,Cardio,57,408,21:12,Present
180,06-07-2024,38,Other,Quarterly,Strength Training,48,348,18:39,Present
181,21-12-2024,54,Other,Quarterly,CrossFit,69,487,19:23,Present
182,17-03-2024,58,Female,Annual,Cardio,97,862,09:21,Present
183,26-05-2024,63,Male,Monthly,Yoga,55,525,07:18,Absent
184,06-02-2024,45,Male,Annual,Cardio,118,775,17:42,Absent
185,30-10-2024,30,Other,Quarterly,Yoga,72,608,20:50,Present
186,05-06-2024,34,Male,Monthly,Yoga,94,690,06:17,Absent
187,24-02-2024,51,Other,Quarterly,HIIT,108,611,17:40,Absent
188,05-03-2024,59,Female,Monthly,HIIT,71,641,13:46,Absent
189,14-04-2024,53,Female,Quarterly,Strength Training,98,900,12:30,Absent
190,04-12-2024,60,Female,Monthly,Strength Training,109,780,11:36,Absent
191,18-03-2024,40,Female,Quarterly,Cardio,20,113,11:29,Absent
192,18-11-2024,62,Female,Monthly,Yoga,31,247,13:27,Present
193,04-01-2024,52,Male,Annual,HIIT,73,456,18:31,Absent
194,17-08-2024,55,Other,Quarterly,Cardio,105,931,12:24,Present
195,09-01-2024,30,Male,Annual,Cardio,25,212,14:50,Present
196,31-01-2024,41,Other,Annual,CrossFit,102,944,08:55,Absent
197,16-04-2024,39,Female,Quarterly,Yoga,78,666,12:57,Absent
198,15-11-2024,31,Male,Quarterly,HIIT,33,206,10:45,Present
199,02-01-2024,61,Other,Monthly,HIIT,106,706,22:05,Present
200,10-09-2024,48,Other,Quarterly,HIIT,68,565,21:24,Absent
201,05-01-2024,46,Female,Quarterly,Strength Training,27,246,06:22,Absent
202,15-10-2024,49,Male,Annual,Cardio,72,591,11:22,Absent
203,14-03-2024,39,Other,Monthly,CrossFit,52,486,10:01,Absent
204,12-07-2024,24,Male,Monthly,Cardio,51,275,11:41,Absent
205,14-04-2024,43,Male,Annual,Strength Training,36,301,14:28,Present
206,22-02-2024,56,Female,Annual,CrossFit,74,398,19:03,Present
207,28-06-2024,57,Male,Annual,Cardio,64,474,10:09,Present
208,31-05-2024,54,Female,Monthly,Strength Training,62,613,10:30,Present
209,21-08-2024,25,Male,Quarterly,Cardio,106,766,19:32,Absent
210,25-02-2024,49,Male,Annual,Cardio,120,614,15:58,Absent
211,12-01-2024,52,Other,Quarterly,Yoga,101,548,15:07,Present
212,25-08-2024,50,Female,Quarterly,HIIT,69,655,14:23,Absent
213,22-09-2024,50,Female,Quarterly,CrossFit,34,266,09:27,Present
214,25-11-2024,64,Female,Monthly,Strength Training,98,769,17:20,Absent
215,30-11-2024,38,Female,Annual,Cardio,111,1025,21:15,Present
216,07-04-2024,27,Male,Monthly,Cardio,70,540,14:34,Absent
217,26-08-2024,41,Other,Annual,Yoga,83,741,17:44,Absent
218,07-11-2024,52,Male,Annual,Strength Training,92,852,17:03,Present
219,21-12-2024,62,Other,Monthly,CrossFit,58,368,17:22,Absent
220,21-10-2024,28,Male,Annual,HIIT,26,169,15:20,Present
221,20-05-2024,58,Female,Annual,Strength Training,59,466,09:17,Present
222,09-02-2024,53,Female,Annual,Strength Training,89,593,22:39,Present
223,23-12-2024,52,Other,Monthly,HIIT,78,608,14:51,Present
224,09-07-2024,58,Female,Monthly,HIIT,23,227,22:05,Present
225,19-03-2024,27,Male,Monthly,Yoga,116,816,22:37,Present
226,12-05-2024,64,Male,Monthly,CrossFit,44,234,16:01,Absent
227,09-05-2024,24,Male,Quarterly,Strength Training,53,489,07:04,Present
228,04-03-2024,43,Male,Monthly,CrossFit,29,205,07:21,Present
229,03-05-2024,40,Other,Annual,Yoga,47,235,16:19,Absent
230,14-05-2024,41,Other,Quarterly,Cardio,85,512,07:31,Absent
231,04-09-2024,56,Other,Monthly,CrossFit,64,561,17:26,Absent
232,13-05-2024,25,Female,Annual,HIIT,45,404,12:57,Absent
233,07-08-2024,53,Male,Quarterly,HIIT,30,223,12:27,Absent
234,02-12-2024,18,Other,Annual,Cardio,42,248,11:51,Present
235,30-11-2024,20,Female,Quarterly,Strength Training,78,619,11:09,Present
236,22-12-2024,36,Female,Quarterly,Yoga,87,725,20:26,Absent
237,26-05-2024,50,Female,Annual,Yoga,117,959,11:35,Present
238,16-01-2024,62,Male,Monthly,Cardio,69,600,15:31,Absent
239,07-01-2024,36,Other,Annual,Cardio,94,735,15:39,Present
240,23-02-2024,30,Other,Annual,CrossFit,48,437,10:40,Absent
241,03-04-2024,33,Male,Annual,Yoga,101,714,11:18,Present
242,25-07-2024,55,Other,Monthly,Strength Training,105,867,05:35,Absent
243,12-10-2024,29,Other,Annual,Strength Training,112,654,16:57,Present
244,24-01-2024,64,Other,Annual,Strength Training,102,549,05:57,Absent
245,16-01-2024,44,Other,Annual,Strength Training,63,452,11:49,Absent
246,27-01-2024,18,Male,Annual,HIIT,36,328,05:12,Present
247,29-11-2024,47,Male,Quarterly,Strength Training,109,1040,19:58,Absent
248,14-04-2024,43,Male,Monthly,CrossFit,27,204,18:27,Present
249,22-09-2024,22,Male,Annual,Yoga,65,428,12:41,Absent
250,06-02-2024,50,Other,Monthly,CrossFit,58,505,22:17,Absent
251,04-02-2024,41,Other,Monthly,HIIT,68,465,21:12,Present
252,11-04-2024,60,Other,Monthly,Yoga,77,446,19:33,Absent
253,05-04-2024,29,Male,Annual,Strength Training,52,431,14:57,Present
254,26-06-2024,19,Male,Annual,Strength Training,40,362,10:13,Absent
255,25-06-2024,45,Other,Annual,Cardio,84,476,06:12,Absent
256,19-12-2024,53,Male,Monthly,Cardio,112,733,06:38,Present
257,20-02-2024,35,Male,Annual,Yoga,108,785,12:31,Present
258,02-12-2024,40,Male,Quarterly,CrossFit,92,782,08:39,Present
259,08-04-2024,49,Female,Quarterly,Cardio,87,622,18:24,Present
260,23-12-2024,24,Female,Annual,Strength Training,80,512,21:10,Absent
261,08-02-2024,45,Other,Quarterly,Cardio,56,491,06:08,Absent
262,18-02-2024,39,Female,Annual,CrossFit,31,171,15:47,Absent
263,15-01-2024,48,Female,Quarterly,Yoga,44,396,14:12,Absent
264,30-08-2024,55,Male,Monthly,Yoga,35,320,12:05,Present
265,09-07-2024,62,Female,Annual,Strength Training,75,639,17:48,Present
266,02-08-2024,64,Other,Monthly,Yoga,26,192,18:21,Present
267,09-10-2024,26,Other,Annual,Strength Training,78,500,15:38,Absent
268,26-06-2024,33,Female,Monthly,CrossFit,31,164,22:28,Absent
269,25-03-2024,49,Male,Quarterly,Strength Training,70,378,13:14,Present
270,13-07-2024,59,Female,Annual,HIIT,32,272,13:18,Absent
271,06-08-2024,63,Male,Quarterly,Yoga,120,1058,12:00,Absent
272,19-11-2024,23,Female,Quarterly,Strength Training,35,210,21:41,Absent
273,05-12-2024,65,Other,Annual,HIIT,36,279,11:56,Absent
274,18-04-2024,18,Other,Quarterly,Cardio,85,499,12:55,Absent
275,05-03-2024,53,Female,Annual,HIIT,61,415,13:41,Absent
276,26-07-2024,26,Female,Monthly,Cardio,53,429,20:38,Present
277,04-02-2024,25,Female,Quarterly,HIIT,106,640,22:52,Present
278,19-04-2024,38,Female,Quarterly,Cardio,114,1087,08:38,Absent
279,08-11-2024,21,Female,Annual,HIIT,44,302,16:00,Absent
280,25-09-2024,58,Male,Monthly,Yoga,34,201,12:40,Present
281,16-08-2024,35,Female,Quarterly,HIIT,88,618,19:08,Present
282,29-08-2024,27,Other,Annual,Cardio,32,310,13:27,Present
283,09-09-2024,24,Female,Monthly,Cardio,50,366,14:26,Absent
284,30-08-2024,19,Other,Quarterly,CrossFit,89,848,20:00,Absent
285,15-05-2024,61,Other,Monthly,Cardio,57,303,07:24,Absent
286,11-06-2024,19,Female,Annual,Cardio,98,931,16:39,Absent
287,13-04-2024,22,Other,Annual,Strength Training,114,939,05:36,Present
288,19-01-2024,53,Other,Annual,Cardio,29,177,14:50,Absent
289,28-06-2024,58,Other,Annual,Cardio,107,629,06:01,Absent
290,05-01-2024,20,Female,Monthly,HIIT,113,1049,07:49,Absent
291,22-04-2024,30,Male,Monthly,Yoga,95,668,11:28,Present
292,23-08-2024,60,Female,Quarterly,Yoga,119,994,17:54,Present
293,12-10-2024,26,Male,Annual,Strength Training,97,876,21:35,Present
294,30-05-2024,49,Female,Monthly,Cardio,89,655,13:23,Present
295,22-12-2024,64,Female,Monthly,CrossFit,54,404,05:23,Present
296,17-10-2024,41,Other,Annual,Yoga,72,642,05:02,Present
297,23-08-2024,52,Female,Quarterly,CrossFit,94,588,09:11,Absent
298,22-03-2024,24,Male,Monthly,Yoga,116,871,14:57,Absent
299,10-09-2024,47,Female,Quarterly,Cardio,120,900,10:31,Absent
300,07-04-2024,62,Other,Monthly,CrossFit,92,853,13:32,Present
301,27-09-2024,59,Male,Annual,CrossFit,42,283,22:14,Present
302,13-12-2024,38,Male,Monthly,HIIT,23,226,10:23,Absent
303,19-10-2024,50,Male,Quarterly,CrossFit,92,797,13:33,Absent
304,11-04-2024,57,Male,Annual,Cardio,108,949,06:48,Absent
305,02-11-2024,42,Other,Annual,Cardio,46,396,08:09,Present
306,01-10-2024,65,Male,Monthly,Strength Training,104,941,11:11,Absent
307,09-04-2024,23,Other,Monthly,Yoga,83,481,05:58,Present
308,21-05-2024,39,Male,Quarterly,Strength Training,91,830,22:57,Present
309,19-07-2024,19,Other,Monthly,Cardio,76,669,08:30,Present
310,09-06-2024,19,Female,Quarterly,Strength Training,46,380,12:44,Absent
311,01-08-2024,37,Other,Quarterly,CrossFit,120,964,22:42,Present
312,24-01-2024,31,Other,Quarterly,Cardio,54,441,17:00,Absent
313,01-12-2024,62,Female,Annual,HIIT,100,935,05:21,Present
314,30-03-2024,40,Other,Monthly,Yoga,99,599,11:27,Absent
315,13-02-2024,19,Male,Monthly,CrossFit,79,535,19:03,Present
316,21-07-2024,28,Other,Quarterly,Cardio,75,422,22:21,Absent
317,07-01-2024,36,Other,Monthly,Yoga,74,528,12:43,Present
318,17-03-2024,59,Female,Annual,Yoga,120,797,18:31,Present
319,06-07-2024,49,Male,Annual,HIIT,33,226,12:39,Absent
320,14-05-2024,35,Female,Monthly,Cardio,107,543,19:37,Absent
321,13-11-2024,64,Male,Annual,Yoga,98,494,07:07,Present
322,20-11-2024,61,Other,Quarterly,Strength Training,69,388,06:24,Absent
323,31-03-2024,57,Female,Quarterly,CrossFit,24,144,08:56,Absent
324,15-02-2024,47,Male,Annual,Strength Training,70,512,21:52,Present
325,18-06-2024,52,Male,Annual,HIIT,76,390,11:07,Present
326,22-04-2024,64,Male,Annual,Strength Training,35,198,21:54,Present
327,13-07-2024,50,Male,Quarterly,Yoga,31,305,09:53,Absent
328,25-06-2024,27,Male,Quarterly,CrossFit,90,551,07:48,Absent
329,26-07-2024,35,Female,Monthly,HIIT,51,453,14:58,Present
330,19-05-2024,63,Other,Annual,HIIT,47,340,05:44,Present
331,19-11-2024,56,Other,Quarterly,HIIT,62,315,22:33,Present
332,16-03-2024,57,Male,Quarterly,Yoga,64,609,13:29,Absent
333,17-06-2024,51,Female,Quarterly,CrossFit,92,599,14:54,Absent
334,16-09-2024,58,Male,Monthly,Cardio,24,168,08:41,Present
335,04-07-2024,53,Female,Annual,Cardio,80,755,14:04,Present
336,26-01-2024,34,Other,Monthly,Cardio,29,210,10:34,Absent
337,01-01-2024,57,Female,Quarterly,CrossFit,118,760,05:28,Present
338,10-04-2024,20,Female,Monthly,Cardio,116,1075,12:14,Present
339,08-10-2024,43,Other,Quarterly,CrossFit,36,285,09:34,Present
340,14-02-2024,27,Female,Quarterly,HIIT,100,750,15:38,Present
341,08-12-2024,36,Male,Monthly,CrossFit,46,257,11:09,Absent
342,15-11-2024,50,Male,Monthly,Yoga,37,327,15:34,Present
343,14-12-2024,27,Female,Monthly,Strength Training,48,354,21:09,Absent
344,22-05-2024,32,Other,Annual,CrossFit,119,1118,15:13,Absent
345,29-06-2024,44,Male,Annual,HIIT,20,180,13:36,Present
346,08-01-2024,26,Female,Quarterly,Cardio,118,813,12:44,Present
347,24-01-2024,33,Female,Quarterly,HIIT,104,814,17:55,Absent
348,17-04-2024,22,Male,Monthly,Strength Training,53,396,11:21,Absent
349,13-08-2024,36,Male,Monthly,Cardio,84,756,06:51,Present
350,17-03-2024,60,Other,Monthly,Yoga,83,750,07:21,Present
351,19-11-2024,28,Female,Monthly,Cardio,35,203,07:10,Present
352,11-10-2024,53,Other,Annual,CrossFit,79,448,15:58,Present
353,20-01-2024,58,Other,Quarterly,Cardio,25,201,18:19,Absent
354,28-10-2024,20,Male,Monthly,Cardio,116,997,19:31,Present
355,12-08-2024,46,Other,Quarterly,Cardio,66,621,17:54,Present
356,22-02-2024,65,Male,Monthly,Strength Training,73,605,13:44,Absent
357,27-02-2024,26,Female,Annual,Cardio,52,462,07:12,Absent
358,27-11-2024,48,Other,Annual,CrossFit,74,719,12:34,Absent
359,20-04-2024,59,Female,Annual,HIIT,48,332,13:08,Present
360,30-05-2024,47,Male,Quarterly,HIIT,31,192,21:19,Absent
361,31-08-2024,38,Other,Monthly,Cardio,111,900,21:55,Present
362,18-09-2024,49,Male,Quarterly,Strength Training,56,504,14:12,Present
363,03-02-2024,40,Male,Monthly,Cardio,36,272,17:17,Present
364,04-05-2024,33,Other,Monthly,HIIT,108,813,08:12,Present
365,20-09-2024,38,Male,Quarterly,Yoga,56,347,05:30,Present
366,20-01-2024,30,Male,Monthly,HIIT,80,611,18:32,Present
367,11-08-2024,22,Male,Monthly,Yoga,80,659,22:05,Present
368,26-06-2024,40,Other,Annual,HIIT,55,511,16:35,Absent
369,19-10-2024,44,Male,Monthly,CrossFit,92,642,19:37,Present
370,20-09-2024,59,Female,Monthly,Cardio,40,391,14:28,Present
371,26-04-2024,54,Female,Annual,Yoga,63,389,19:28,Present
372,06-09-2024,51,Female,Monthly,Strength Training,55,424,09:40,Present
373,26-02-2024,45,Female,Quarterly,Yoga,46,418,18:07,Present
374,29-01-2024,34,Male,Monthly,Strength Training,21,107,06:46,Absent
375,01-02-2024,51,Female,Monthly,CrossFit,63,448,15:33,Absent
376,21-07-2024,44,Male,Quarterly,Strength Training,99,671,09:12,Absent
377,10-08-2024,48,Other,Quarterly,Cardio,45,404,16:49,Absent
378,21-10-2024,18,Other,Annual,Cardio,27,158,08:44,Absent
379,06-07-2024,51,Female,Quarterly,Yoga,52,390,12:14,Absent
380,18-09-2024,51,Male,Monthly,Cardio,63,476,11:59,Present
381,31-08-2024,64,Male,Annual,Strength Training,59,369,15:39,Present
382,22-12-2024,40,Male,Quarterly,Cardio,75,671,06:07,Absent
383,29-04-2024,23,Other,Quarterly,Strength Training,35,203,07:42,Absent
384,02-12-2024,20,Other,Monthly,Cardio,85,835,05:18,Absent
385,01-08-2024,54,Other,Annual,Cardio,43,385,14:59,Absent
386,04-07-2024,59,Male,Quarterly,Cardio,71,551,16:52,Present
